iteration;stat;count
51;conflicting_iso_vertices;76
51;conflicting_triangles;90
51;extended_conflicting_triangles;90
51;vertices_to_smooth;126
51;updated_vertices;5
51;conflicting_sharp_vertices;0
51;conflicting_spur_vertices;26
51;conflicting_gully_vertices;50
51;conflicting_sharp_triangles;0
51;conflicting_spur_triangles;33
51;conflicting_gully_triangles;64
52;conflicting_iso_vertices;76
52;conflicting_triangles;90
52;extended_conflicting_triangles;90
52;vertices_to_smooth;126
52;updated_vertices;3
52;conflicting_sharp_vertices;0
52;conflicting_spur_vertices;26
52;conflicting_gully_vertices;50
52;conflicting_sharp_triangles;0
52;conflicting_spur_triangles;33
52;conflicting_gully_triangles;64
53;conflicting_iso_vertices;76
53;conflicting_triangles;90
53;extended_conflicting_triangles;90
53;vertices_to_smooth;126
53;updated_vertices;1
53;conflicting_sharp_vertices;0
53;conflicting_spur_vertices;26
53;conflicting_gully_vertices;50
53;conflicting_sharp_triangles;0
53;conflicting_spur_triangles;33
53;conflicting_gully_triangles;64
54;conflicting_iso_vertices;76
54;conflicting_triangles;90
54;extended_conflicting_triangles;90
54;vertices_to_smooth;126
54;updated_vertices;0
54;conflicting_sharp_vertices;0
54;conflicting_spur_vertices;26
54;conflicting_gully_vertices;50
54;conflicting_sharp_triangles;0
54;conflicting_spur_triangles;33
54;conflicting_gully_triangles;64
55;conflicting_iso_vertices;76
55;conflicting_triangles;90
55;extended_conflicting_triangles;490
55;vertices_to_smooth;397
55;updated_vertices;91
55;conflicting_sharp_vertices;0
55;conflicting_spur_vertices;26
55;conflicting_gully_vertices;50
55;conflicting_sharp_triangles;0
55;conflicting_spur_triangles;33
55;conflicting_gully_triangles;64
56;conflicting_iso_vertices;88
56;conflicting_triangles;105
56;extended_conflicting_triangles;105
56;vertices_to_smooth;142
56;updated_vertices;36
56;conflicting_sharp_vertices;0
56;conflicting_spur_vertices;38
56;conflicting_gully_vertices;50
56;conflicting_sharp_triangles;0
56;conflicting_spur_triangles;48
56;conflicting_gully_triangles;64
57;conflicting_iso_vertices;80
57;conflicting_triangles;95
57;extended_conflicting_triangles;95
57;vertices_to_smooth;131
57;updated_vertices;20
57;conflicting_sharp_vertices;0
57;conflicting_spur_vertices;26
57;conflicting_gully_vertices;54
57;conflicting_sharp_triangles;0
57;conflicting_spur_triangles;33
57;conflicting_gully_triangles;69
58;conflicting_iso_vertices;76
58;conflicting_triangles;90
58;extended_conflicting_triangles;90
58;vertices_to_smooth;126
58;updated_vertices;7
58;conflicting_sharp_vertices;0
58;conflicting_spur_vertices;26
58;conflicting_gully_vertices;50
58;conflicting_sharp_triangles;0
58;conflicting_spur_triangles;33
58;conflicting_gully_triangles;64
59;conflicting_iso_vertices;76
59;conflicting_triangles;90
59;extended_conflicting_triangles;90
59;vertices_to_smooth;126
59;updated_vertices;3
59;conflicting_sharp_vertices;0
59;conflicting_spur_vertices;26
59;conflicting_gully_vertices;50
59;conflicting_sharp_triangles;0
59;conflicting_spur_triangles;33
59;conflicting_gully_triangles;64
60;conflicting_iso_vertices;76
60;conflicting_triangles;90
60;extended_conflicting_triangles;90
60;vertices_to_smooth;126
60;updated_vertices;3
60;conflicting_sharp_vertices;0
60;conflicting_spur_vertices;26
60;conflicting_gully_vertices;50
60;conflicting_sharp_triangles;0
60;conflicting_spur_triangles;33
60;conflicting_gully_triangles;64
61;conflicting_iso_vertices;76
61;conflicting_triangles;90
61;extended_conflicting_triangles;90
61;vertices_to_smooth;126
61;updated_vertices;1
61;conflicting_sharp_vertices;0
61;conflicting_spur_vertices;26
61;conflicting_gully_vertices;50
61;conflicting_sharp_triangles;0
61;conflicting_spur_triangles;33
61;conflicting_gully_triangles;64
62;conflicting_iso_vertices;76
62;conflicting_triangles;90
62;extended_conflicting_triangles;90
62;vertices_to_smooth;126
62;updated_vertices;0
62;conflicting_sharp_vertices;0
62;conflicting_spur_vertices;26
62;conflicting_gully_vertices;50
62;conflicting_sharp_triangles;0
62;conflicting_spur_triangles;33
62;conflicting_gully_triangles;64
63;conflicting_iso_vertices;76
63;conflicting_triangles;90
63;extended_conflicting_triangles;490
63;vertices_to_smooth;397
63;updated_vertices;86
63;conflicting_sharp_vertices;0
63;conflicting_spur_vertices;26
63;conflicting_gully_vertices;50
63;conflicting_sharp_triangles;0
63;conflicting_spur_triangles;33
63;conflicting_gully_triangles;64
64;conflicting_iso_vertices;85
64;conflicting_triangles;102
64;extended_conflicting_triangles;102
64;vertices_to_smooth;140
64;updated_vertices;34
64;conflicting_sharp_vertices;0
64;conflicting_spur_vertices;35
64;conflicting_gully_vertices;50
64;conflicting_sharp_triangles;0
64;conflicting_spur_triangles;45
64;conflicting_gully_triangles;64
65;conflicting_iso_vertices;86
65;conflicting_triangles;103
65;extended_conflicting_triangles;103
65;vertices_to_smooth;141
65;updated_vertices;28
65;conflicting_sharp_vertices;0
65;conflicting_spur_vertices;33
65;conflicting_gully_vertices;53
65;conflicting_sharp_triangles;0
65;conflicting_spur_triangles;42
65;conflicting_gully_triangles;68
66;conflicting_iso_vertices;83
66;conflicting_triangles;99
66;extended_conflicting_triangles;99
66;vertices_to_smooth;137
66;updated_vertices;19
66;conflicting_sharp_vertices;0
66;conflicting_spur_vertices;33
66;conflicting_gully_vertices;50
66;conflicting_sharp_triangles;0
66;conflicting_spur_triangles;42
66;conflicting_gully_triangles;64
67;conflicting_iso_vertices;78
67;conflicting_triangles;93
67;extended_conflicting_triangles;93
67;vertices_to_smooth;130
67;updated_vertices;9
67;conflicting_sharp_vertices;0
67;conflicting_spur_vertices;29
67;conflicting_gully_vertices;49
67;conflicting_sharp_triangles;0
67;conflicting_spur_triangles;37
67;conflicting_gully_triangles;63
68;conflicting_iso_vertices;78
68;conflicting_triangles;93
68;extended_conflicting_triangles;93
68;vertices_to_smooth;130
68;updated_vertices;5
68;conflicting_sharp_vertices;0
68;conflicting_spur_vertices;29
68;conflicting_gully_vertices;49
68;conflicting_sharp_triangles;0
68;conflicting_spur_triangles;37
68;conflicting_gully_triangles;63
69;conflicting_iso_vertices;78
69;conflicting_triangles;93
69;extended_conflicting_triangles;93
69;vertices_to_smooth;130
69;updated_vertices;3
69;conflicting_sharp_vertices;0
69;conflicting_spur_vertices;29
69;conflicting_gully_vertices;49
69;conflicting_sharp_triangles;0
69;conflicting_spur_triangles;37
69;conflicting_gully_triangles;63
70;conflicting_iso_vertices;78
70;conflicting_triangles;93
70;extended_conflicting_triangles;93
70;vertices_to_smooth;130
70;updated_vertices;3
70;conflicting_sharp_vertices;0
70;conflicting_spur_vertices;29
70;conflicting_gully_vertices;49
70;conflicting_sharp_triangles;0
70;conflicting_spur_triangles;37
70;conflicting_gully_triangles;63
71;conflicting_iso_vertices;78
71;conflicting_triangles;93
71;extended_conflicting_triangles;93
71;vertices_to_smooth;130
71;updated_vertices;3
71;conflicting_sharp_vertices;0
71;conflicting_spur_vertices;29
71;conflicting_gully_vertices;49
71;conflicting_sharp_triangles;0
71;conflicting_spur_triangles;37
71;conflicting_gully_triangles;63
72;conflicting_iso_vertices;78
72;conflicting_triangles;93
72;extended_conflicting_triangles;93
72;vertices_to_smooth;130
72;updated_vertices;1
72;conflicting_sharp_vertices;0
72;conflicting_spur_vertices;29
72;conflicting_gully_vertices;49
72;conflicting_sharp_triangles;0
72;conflicting_spur_triangles;37
72;conflicting_gully_triangles;63
73;conflicting_iso_vertices;78
73;conflicting_triangles;93
73;extended_conflicting_triangles;93
73;vertices_to_smooth;130
73;updated_vertices;1
73;conflicting_sharp_vertices;0
73;conflicting_spur_vertices;29
73;conflicting_gully_vertices;49
73;conflicting_sharp_triangles;0
73;conflicting_spur_triangles;37
73;conflicting_gully_triangles;63
74;conflicting_iso_vertices;78
74;conflicting_triangles;93
74;extended_conflicting_triangles;93
74;vertices_to_smooth;130
74;updated_vertices;0
74;conflicting_sharp_vertices;0
74;conflicting_spur_vertices;29
74;conflicting_gully_vertices;49
74;conflicting_sharp_triangles;0
74;conflicting_spur_triangles;37
74;conflicting_gully_triangles;63
